counter,timestamp,deadtime,height_1,height_2,time_difference
10085.0,1770640796.3670273,0.15697091273821465,1135.0,1402.0,-85.0
10088.0,1770640796.434126,0.04487860704651353,1121.0,687.0,-86.0
10089.0,1770640796.4421835,0.017882646988812187,412.0,589.0,-86.0
10090.0,1770640796.443481,0.05343827671913836,575.0,1427.0,-86.0
10094.0,1770640796.4480839,0.20687022900763358,244.0,484.0,-86.0
10096.0,1770640796.4676077,0.024923813670004354,196.0,388.0,-85.0
10097.0,1770640796.4796875,0.011740058502648431,1079.0,393.0,-86.0
10106.0,1770640796.5004048,0.022760538641686184,425.0,715.0,-85.0
10112.0,1770640796.5253193,0.012606503216831856,1134.0,316.0,-87.0
10114.0,1770640796.5397449,0.036538185986531024,1134.0,507.0,-85.0
10115.0,1770640796.5434947,0.02926490108084192,588.0,1515.0,-86.0
10119.0,1770640796.5493164,0.0946298984034833,732.0,1552.0,-86.0
10122.0,1770640796.5604725,0.198468410976388,1134.0,1465.0,-85.0
10125.0,1770640796.5727627,0.022689380210221096,397.0,428.0,-87.0
10127.0,1770640796.5737998,0.11860095389507154,249.0,396.0,-89.0
10133.0,1770640796.5925894,0.1175123998473865,688.0,1469.0,-86.0
10138.0,1770640796.616005,0.007167090754877014,829.0,479.0,-86.0
10139.0,1770640796.6236176,0.009790033682752542,440.0,1530.0,-85.0
10141.0,1770640796.6273808,0.24245374878286272,1885.0,722.0,99.0
10144.0,1770640796.6362338,0.03149703557312253,666.0,1370.0,-85.0
10147.0,1770640796.6471856,0.01005387228493978,926.0,1397.0,-89.0
10148.0,1770640796.6475422,0.21318681318681318,1135.0,1451.0,-86.0
10149.0,1770640796.6502502,0.028761651131824235,520.0,1283.0,-85.0
10150.0,1770640796.6527429,0.027556763050650107,668.0,968.0,-87.0
10151.0,1770640796.6568432,0.014386376981796829,848.0,1499.0,-86.0
10156.0,1770640796.676786,0.012532532532532533,365.0,1354.0,-86.0
10163.0,1770640796.715683,0.009412332569084107,1735.0,1469.0,-86.0
10165.0,1770640796.729399,0.006296627252135242,678.0,1472.0,-93.0
10169.0,1770640796.7402189,0.024052718286655683,599.0,339.0,-86.0
10170.0,1770640796.7406175,0.19404915912031048,1481.0,597.0,-86.0
10171.0,1770640796.741023,0.20182291666666666,520.0,850.0,-86.0
10173.0,1770640796.7445416,0.15066354410616706,315.0,779.0,360.0
10174.0,1770640796.745252,0.048642932675361295,1137.0,1478.0,-87.0
10179.0,1770640796.7674181,0.023957298907646474,593.0,291.0,-85.0
10180.0,1770640796.7710211,0.013898124750631733,1137.0,1232.0,-86.0
10184.0,1770640796.7904224,0.012195121951219513,341.0,496.0,-86.0
10185.0,1770640796.791278,0.09003775776938716,755.0,1461.0,-86.0
10191.0,1770640796.8121436,0.013435617388289342,676.0,259.0,-85.0
10192.0,1770640796.8186228,0.011575871888753283,721.0,1356.0,-86.0
10196.0,1770640796.8350646,0.13691437802907916,1154.0,1401.0,-87.0
10198.0,1770640796.8383956,0.023791191869417923,605.0,890.0,-86.0
10199.0,1770640796.8419378,0.021594458780388428,874.0,3544.0,-86.0
10202.0,1770640796.8512752,0.01956831702640248,373.0,1058.0,-85.0
10206.0,1770640796.8656137,0.030704394942805538,653.0,300.0,-86.0
10209.0,1770640796.8673632,0.04607843137254902,294.0,1365.0,-86.0
10220.0,1770640796.901535,0.05274588892336333,1135.0,436.0,-86.0
10224.0,1770640796.9102125,0.01417239555790587,2348.0,341.0,309.0
10226.0,1770640796.9156926,0.014932392710170488,581.0,1507.0,-85.0
10227.0,1770640796.916605,0.03390728476821192,740.0,1210.0,-87.0
10228.0,1770640796.921308,0.007466477041852906,1140.0,1515.0,-86.0
10229.0,1770640796.921645,0.14438122332859174,396.0,439.0,-88.0
10231.0,1770640796.9372313,0.015192013341557582,665.0,1369.0,-86.0
10247.0,1770640797.0158021,0.015503173164097914,650.0,1461.0,-86.0
10249.0,1770640797.0347338,0.00864269219861987,720.0,1366.0,-86.0
10252.0,1770640797.041158,0.04311377245508982,1127.0,1467.0,-86.0
10255.0,1770640797.0472655,0.017907525767259746,534.0,541.0,-86.0
10259.0,1770640797.0659096,0.03103503439449688,325.0,928.0,-86.0
10264.0,1770640797.090794,0.06064153594006087,1137.0,537.0,-86.0
10268.0,1770640797.1093655,0.015236410105180379,697.0,1468.0,-87.0
10271.0,1770640797.121895,0.02455167479093064,1139.0,1496.0,-86.0
10276.0,1770640797.1472776,0.019651733105105502,1143.0,538.0,-86.0
10278.0,1770640797.1514316,0.04497411561691113,644.0,286.0,-87.0
10279.0,1770640797.1526914,0.061938061938061936,693.0,1123.0,-86.0
10281.0,1770640797.1576247,0.01442736737729301,1140.0,1512.0,-86.0
10283.0,1770640797.1674213,0.18251928020565553,1087.0,1440.0,-86.0
10286.0,1770640797.1898618,0.008790152282520988,609.0,1414.0,148.0
10290.0,1770640797.194895,0.03850113238624665,389.0,1431.0,-86.0
10294.0,1770640797.219215,0.07072570725707257,380.0,1482.0,-86.0
10296.0,1770640797.2416985,0.02261964454844281,677.0,1418.0,-85.0
10297.0,1770640797.2420838,0.1901081916537867,610.0,705.0,-86.0
10298.0,1770640797.2430198,0.0660964230171073,263.0,3339.0,-269.0
10306.0,1770640797.2833993,0.5612648221343873,458.0,3489.0,-86.0
