x,y_fit,uncertainty
1.950000000000000000e+02,8.976847378506198538e+01,1.553787119589864485e-01
1.960000000000000000e+02,8.830920019977168067e+01,1.550127628830976489e-01
1.970000000000000000e+02,8.684992661448143281e+01,1.546520685543969487e-01
1.980000000000000000e+02,8.539065302919112810e+01,1.542966658233613231e-01
1.990000000000000000e+02,8.393137944390088023e+01,1.539465913387103591e-01
2.000000000000000000e+02,8.247210585861057552e+01,1.536018815313127672e-01
2.010000000000000000e+02,8.101283227332027082e+01,1.532625725989900656e-01
2.020000000000000000e+02,7.955355868803002295e+01,1.529287004901811464e-01
2.030000000000000000e+02,7.809428510273971824e+01,1.526003008923041693e-01
2.040000000000000000e+02,7.663501151744947038e+01,1.522774092102230081e-01
2.050000000000000000e+02,7.517573793215916567e+01,1.519600605543554306e-01
2.060000000000000000e+02,7.371646434686886096e+01,1.516482897237510785e-01
2.070000000000000000e+02,7.225719076157861309e+01,1.513421311891547938e-01
2.080000000000000000e+02,7.079791717628830838e+01,1.510416190804232117e-01
2.090000000000000000e+02,6.933864359099806052e+01,1.507467871649201263e-01
2.100000000000000000e+02,6.787937000570775581e+01,1.504576688348104041e-01
2.110000000000000000e+02,6.642009642041750794e+01,1.501742970897980700e-01
2.120000000000000000e+02,6.496082283512720323e+01,1.498967045199236792e-01
2.130000000000000000e+02,6.350154924983689853e+01,1.496249232923704819e-01
2.140000000000000000e+02,6.204227566454665066e+01,1.493589851293926629e-01
2.150000000000000000e+02,6.058300207925634595e+01,1.490989212982493095e-01
2.160000000000000000e+02,5.912372849396609809e+01,1.488447625893186133e-01
2.170000000000000000e+02,5.766445490867579338e+01,1.485965393021530523e-01
2.180000000000000000e+02,5.620518132338548867e+01,1.483542812312822756e-01
2.190000000000000000e+02,5.474590773809524080e+01,1.481180176456401154e-01
2.200000000000000000e+02,5.328663415280493609e+01,1.478877772753638964e-01
2.210000000000000000e+02,5.182736056751468823e+01,1.476635882950527723e-01
2.220000000000000000e+02,5.036808698222438352e+01,1.474454783078943676e-01
2.230000000000000000e+02,4.890881339693407881e+01,1.472334743293333414e-01
2.240000000000000000e+02,4.744953981164383094e+01,1.470276027739836899e-01
2.250000000000000000e+02,4.599026622635352624e+01,1.468278894365505627e-01
2.260000000000000000e+02,4.453099264106327837e+01,1.466343594791793548e-01
2.270000000000000000e+02,4.307171905577297366e+01,1.464470374159075328e-01
2.280000000000000000e+02,4.161244547048272580e+01,1.462659470974727594e-01
2.290000000000000000e+02,4.015317188519242109e+01,1.460911116990102065e-01
2.300000000000000000e+02,3.869389829990211638e+01,1.459225537027581954e-01
2.310000000000000000e+02,3.723462471461186851e+01,1.457602948863844228e-01
2.320000000000000000e+02,3.577535112932156380e+01,1.456043563089609305e-01
2.330000000000000000e+02,3.431607754403131594e+01,1.454547582973933495e-01
2.340000000000000000e+02,3.285680395874101123e+01,1.453115204353707668e-01
2.350000000000000000e+02,3.139753037345070652e+01,1.451746615483396063e-01
2.360000000000000000e+02,2.993825678816045865e+01,1.450441996932674560e-01
2.370000000000000000e+02,2.847898320287015395e+01,1.449201521466067233e-01
2.380000000000000000e+02,2.701970961757990608e+01,1.448025353928020231e-01
2.390000000000000000e+02,2.556043603228960137e+01,1.446913651149364377e-01
2.400000000000000000e+02,2.410116244699929666e+01,1.445866561824213914e-01
2.410000000000000000e+02,2.264188886170904880e+01,1.444884226426232376e-01
2.420000000000000000e+02,2.118261527641874409e+01,1.443966777112361544e-01
2.430000000000000000e+02,1.972334169112849622e+01,1.443114337632761257e-01
2.440000000000000000e+02,1.826406810583819151e+01,1.442327023258133667e-01
2.450000000000000000e+02,1.680479452054788680e+01,1.441604940687658265e-01
2.460000000000000000e+02,1.534552093525763894e+01,1.440948187987491080e-01
2.470000000000000000e+02,1.388624734996733423e+01,1.440356854522091834e-01
2.480000000000000000e+02,1.242697376467708636e+01,1.439831020893800884e-01
2.490000000000000000e+02,1.096770017938678166e+01,1.439370758886941160e-01
2.500000000000000000e+02,9.508426594096533790e+00,1.438976131424206661e-01
2.510000000000000000e+02,8.049153008806229082e+00,1.438647192515716822e-01
2.520000000000000000e+02,6.589879423515924373e+00,1.438383987227716265e-01
2.530000000000000000e+02,5.130605838225676507e+00,1.438186551650314782e-01
2.540000000000000000e+02,3.671332252935371798e+00,1.438054912872483160e-01
2.550000000000000000e+02,2.212058667645123933e+00,1.437989088964830575e-01
